,Questions,Answers
508,ዶ/ር ውለታ ለማ ያሸነፉበት አዲስ የሥራ ፈጠራቸው ምን ይባላል?,አባይ ሲ ኤች አር
509,አባይ ሲ ኤች አር (ABAY CHR) የተባለ የሥራ ፈጠራ ይዘው በመቅረብ በጤና ዘርፍ አሸናፊ የሆኑት ግለሰብ ማን ይባላሉ?,ውለታ ለማ (ዶ/ር)
510,ውለታ ለማ (ዶ/ር) ያሸነፉበት አባይ ሲ ኤች አር (ABAY CHR) የተባለ የሥራ ፈጠራቸው በህክምናው ዘርፍ ለኢትዮጵያ ምን ፋይዳ አለው?,የወረቀት ስራ ወደ ዲጂታል
511,ውለታ ለማ (ዶ/ር) ያሸነፉበት በህክምናው ዘርፍ ያለውን የወረቀት ሥራ ዲጂታል ለማድረግ የሚያስችል የሥራ ፈጠራቸው ምን ይባላል?,አባይ ሲ ኤች አር (ABAY CHR)
512,ጾመ ነብያት መቼ ይጀምራል?,ኅዳር ዐሥራ አምስት
513,በአራቱም ዘመናት ኅዳር አስራ አምስት የሚጀምረው ጾም ምን ይባላል?,ጾመ ነቢያት
514,ዓርብና ሮብን የሚያሽር በዓል ሲኖር በዋዜማው የሚጾመው ጾም ምን ይባላል?,ጾመ ገሀድ
515,በአራቱም ወንጌላውያን ዘመን ኅዳር 15 የሚጀምረው ጾም ምን ይባላል?,ጾመ ነቢያት
516,ሐዋርያት የእመቤታችንን ትንሣኤ ለማየት የጾሙት ጾም ምን ይባላል?,ጾመ ፍልሰታ
517,የእመቤታችንን ትንሣኤ ለማየት ለመጀመሪያ ጊዜ ጾመ ፍልሰታን የጾሙት እነማን ናቸው?,ሐዋርያት
518,ጾመ ፍልሰታ መቼ ይጀምራል?,ነሐሴ አንድ ቀን
519,ጾመ ፍልሰታ ከምን ያህል ጊዜ በኋላ ይፈታል?,ከሁለት ሱባኤ
520,በኦርቶዶክስ እምነት ተከታዮች ዘንድ ለሁለት ሣምንት የሚጾመው ጾም ምንድን ነው?,ጾመ ፍልሰታ
521,ጾመ ፍልሰታ ሲያበቃ የሚከበረው በዓል ምንድን ነው?,የእመቤታችን ዕርገት
522,ሳርፌ ቢዝነስ ዋና የንግድ ስራው ምንድን ነው?,በቁርጥራጭ ብረትና ያገለገሉ ማሽኖች ንግድ
523,ሳርፌ ቢዝነስ የብረታ ብረት ማምረቻ ፋብሪካ ለመትከል ያቀደው በየት ነው?,በዱከም ከተማ
524,ሳርፌ ቢዝነስ የብረት ማቅለጫ ማሽኑን ከየት ለመግዛት ነው የወሰነው?,ከህንድ
525,የሳርፌ ብረታ ብረት ማምረቻ ፋብሪካ እውን ለማድረግ ምን ያህል ብር ያስፈልገዋል?,ከ100 ሚሊዮን ብር በላይ
526,የሳርፌ ብረታ ብረት ማምረቻ ፋብሪካ ግንባታ ሲጠናቀቅ ለምን ያህል ሰው የሥራ እድል ይፈጥራል?,ለ300
527,የሳርፌ ቢዝነስ ለብረታ ብረት ማምረቻ ፋብሪካው መስሪያ ቦታ ከማን ነው የተሰጠው??,ከዱከም ከተማ አስተዳደር
528,ለሳርፌ ብረታ ብረት ፋብሪካ የተሰጠው መሬት ስፋቱ ምን ያህል ነው?,"30,000 ካሬ ሜትር"
529,ሳርፌ ቢዝነስ ኃላፊነቱ የተወሰነ የግል ማኅበር ዋና ኃላፊው ማን ይባላሉ?,አቶ ክብርይስፋ ተክሌ
530,አቶ ክብርይስፋ ተክሌ በሳርፌ ቢዝነስ ውስጥ ኃላፊነታቸው ምንድን ነው?,ዋና ሥራ አስኪያጅ
531,የኢትዮጵያ ምርት ገበያ የድረ ገጽ ሽያጭ ከመጀመሩ በፊት ገዥና ሻጭን እንዴት ነበር የሚያገበያየው?,በድምፅ ዋጋ በመንገርና በመጫረት
532,የኢትዮጵያ ምርት ገበያ የገጽ ለገጽ የግብይት ሥርዓቱ በቀን ምን ያህል ያገበያይ ነበር?,ከ200 እስከ 300
533,የኢትዮጵያ ምርት ገበያ የድረ ገጽ የግብይት ሥርዓትን ለማበልጸግ የገንዘብ ድጋፍ ያገኘው ከማን ነው?,የኢንቨስትመንት ክላይሜት ፋሲሊቲ ፎር አፍሪካ (ICF)
534,የኢትዮጵያ ምርት ገበያ የድረ ገጽ የግብይት ሥርዓትን ለማበልጸግ ከICF ምን ያህል ገንዘብ አገኘ?,2.2 ሚሊዮን ዶላር
535,የኢትዮጵያ ምርት ገበያ የድረ ገጽ የግብይት ሥርዓትን የተጀመረው በምን ምርት ግብይት ነው?,በቡና
536,በኢትዮጵያ ምርት ገበያ የድረ ገጽ የግብይት ሥርዓት ለመጠቀም ምን ያህል ገዥና ሻጮች ሰለጠኑ?,380
537,ሊቢያ ኦይል በኢትዮጵያ የአውሮፕላን ነዳጅ ሽያጭ ምን ያህል ድርሻ አለው?,የ42 በመቶ
538,የኢትዮጵያ አየር መንገድ የአውሮፕላን ነዳጅ አቅራቢ ማነው?,ሊቢያ ኦይል
539,ሊቢያ ኦይል ለምን ያህል አየር መንገድ አውሮፕላኖች ነዳጅ ያቀርባል?,ለ30
540,ሊቢያ ኦይል ምን ያህል ዘመናዊ የአውሮፕላን ነዳጅ መቅጃ ማሽኖች ተጠቀመ?,አምስት
541,ሊቢያ ኦይል በምን ያህል ካፒታል የሞተር ዘይትና ቅባት ማምረቻ ለመገንባት አቅዷል?,በ124 ሚሊዮን ብር 
542,ሊቢያ ኦይል በኢትዮጵያ ምን ያህል መዋለ ነዋይ ለማፍሰስ ወሰነ?,የ150 ሚሊዮን ብር
543,የሊቢያ ኦይል ኢትዮጵያ የሽያጭና ማርኬቲንግ ኃላፊ ማን ናቸው?,አቶ ዘካሪያስ ወሊቃ
544,የ18 የአፍሪካ ሀገራት ሊቢያ ኦይል ሥራ አስኪያጆች የተሳተፉበት ውይይት በየት ተካሄደ?,በአዲስ አበባ ሒልተን ሆቴል
545,የሊቢያ ኦይል ዋና መስሪያ ቤት የት ይገኛል?,ዱባይ
546,የ18 የአፍሪካ ሀገራት ሊቢያ ኦይል ሥራ አስኪያጆች የተሳተፉበት ውይይት ምን ያህል ጊዜ ቆይታ ነበረው?,የአንድ ሳምንት
547,ሊቢያ ኦይል ኢትዮጵያ ውስጥ ስንት ማደያዎች አሉት?,143
548,ሊቢያ ኦይል በኢትዮጵያ የነዳጅ አቅርቦት ምን ያህል ድርሻ አለው?,24 በመቶ
549,ሊቢያ ኦይል ኢትዮጵያ ውስጥ በየዓመቱ ስንት ማደያዎች ለመክፈት አቅዷል?,ዘጠኝ
550,በእቅዱ መሰረት ሊቢያ ኦይል በ2020 ኢትዮጵያ ውስጥ ስንት ማደያዎች ይኖሩታል?,185
551,ሊቢያ ኦይል በእቅዱ መሰረት በ2020 ኢትዮጵያ ውስጥ የገበያ ድርሻውን ስንት እንደሚሆንለት ገምቷል?,30 በመቶ
552,በኢትዮጵያ የሊቢያ ኦይል ዓመታዊ ሽያጩ ስንት ደርሷል?,13 ቢሊዮን ብር
553,ሊቢያ ኦይል በኢትዮጵያ በ2007 ዓ.ም በ50 ሚልየን ብር ያስገነባው ምንድን ነው?,የአቪዬሽን ነዳጅ ዲፖ ማስፋፊያና በአዲስ አበባ ጎተራ አካባቢ በሚገኘው የነዳጅ ዲፖ የኤታኖል ማደባለቂያ
554,ሊቢያ ኦይል በኢትዮጵያ ለአውሮፕላን ነዳጅ ማከማቻ ማስፋፊያና ለኢታኖል መደባለቂያ ግንባታ ምን ያህል ገንዘብ አውጥቷል?,50 ሚሊዮን ብር
555,ሊቢያ ኦይል ያስገነባው የኢታኖል መደባለቂያ የሚገኘው የት ነው?,በአዲስ አበባ ጎተራ አካባቢ
556,ሊቢያ ኦይል ሼል ኩባንያን ከገዛ በኋላ ያጋጠመው አለመግባባት ምን ነበር?,የታክስ ክርክር
557,ሊቢያ ኦይል ቀድሞ በኢትዮጵያ የነበረ የነዳጅ አቅራቢ ድርጅት ማን ይባላል?,ሼል ኢትዮጵያ ሊሚትድ
558,ሊቢያ ኦይል በኢትዮጵያ የነዳጅ አቅራቢ ድርጅት ሆኖ ሥራ የጀመረው ከመቼ ጀምሮ ነው?,በ2000 ዓ.ም.
559,ሼል ኢትዮጵያ ሊሚትድን የገዛው ድርጅት ማን ነው?,ሊቢያ ኦይል
560,በኢትዮጵያ ቤተሰብ ሕግ መሰረት እውቅና ያገኘው የተለያዩ ጾታዎች ጥምረት ስንት ነው?,ሦስት
561,እድሜያቸው ከአስራ ስምንት ዓመት በላይ የሆኑ ሴትና ወንድ የሚመሰርቱት ተቋም ምን ይባላል?,ጋብቻ
562,በኢትዮጵያ ቤተሰብ ሕግ ተቀባይነት ያለው እጮኛና እጮኚት ወደፊት ለመጋባት የሚያደርጉት ስምምነት ምን ይባላል?,መተጫጨት
563,በኢትዮጵያ ቤተሰብ ሕግ መተጫጨት ለምን ያህል ጊዜ ነው የሚጸናው?,ለአንድ ዓመት
564,በቬርዳንታ ሐርቨስት ትላልቅ ዛፎችን ጨፍጭፏል ተብሎ የቀረበበትን ክስ የነበሩት ትላልቅ ዛፎች ሳይሆኑ ቁጥቋጦዎች ናቸው ብሎ የገለጸው መስሪያ ቤት ማነው?,ግብርና ሚኒስቴር
565,በቬርዳንታ ሐርቨስት ለሻይ ቅጠል ልማት የተሰጠው ቦታ ስፋቱ ምን ያህል ነው?,"3,012 ሔክታር"
566,በቬርዳንታ ሐርቨስት ኃላፊ ድርጅታቸው በሰራው ሕገ ወጥ ስራ የተያዙት መቼ ነበር?,ሰኔ 14 ቀን 2004 ዓ.ም.
567,ያልተፈቀደለትን የጣውላ ምርት ሲሰራ የነበረው የሕንድ ኩባንያ ስያሜው ምን ይባላል?,ቬርዳንታ ሐርቨስት
568,ያልተፈቀደለትን የጣውላ ምርት ሲሰራ የነበረው የሕንድ ኩባንያ ፈቃድ ያወጣው በምን ዘርፍ ነበር?,\ufeffየሻይ ቅጠል ልማት
569,ቬርዳንት ኸርቨስትያለ አግባብ በጣውላ ምርት ከመሰማራቱ በተጨማሪ በምን ጥፋት ተከሰሰ?,በሕፃናት ጉልበት ብዝበዛ
570,ቬርዳንት ኸርቨስት ከሕግ ውጪ ምን ያህል እድሜያቸው ለሥራ ያልደረሰ ሕጻናትን አሰርቷል?,250
571,የሕንዱ ኩኩንያ ቬርዳንት ኸርቨስት ፈቃድ ያወጣው በየት አካባቢ ለመስራት ነበር?,ጋምቤላ ክልል
572,የዓለም ጤና ድርጅት በቲቢ በሽታ የሚያዙ ሰዎችን በ2032 ወደ ስንት ለመቀነስ አስቧል?,ከ100 ሺህ አስር ብቻ
573,የዓለም ጤና ድርጅት በቲቢ በሽታ የሚያዙ ሰዎችን ከ100 ሺህ አስር ለማድረስ ያሰበው መቼ ነው?,በ2032
574,የቲቢ በሽታ በዓለም አቀፍ ደረጃ ያለው ስርጭት ምን ያህል ነው?,133 ሰዎች ከ100 ሺህ ሰዎች
575,የቲቢ በሽታ በኢትዮጵያ ያለው ስርጭት ምን ያህል ነው?,200 ሰዎች ከ100 ሺህ ሰዎች
576,የግሎባል ቲቢ ፕሮግራም ዳይሬክተር ማን ይባላሉ?,ዶ/ር ማርዮ ራቨግሊዮን
577,ዶ/ር ማርዮ ራቨግሊዮን የሥራ ኃላፊነታቸው ምንድን ነው?,የግሎባል ቲቢ ፕሮግራም ዳይሬክተር
578,የዓለም ጤና ድርጅት የቲቢን በሽታ ስርጭት ለመቀነስ የጀመረው እንቅስቃሴ ምን ይባላል?,ቲቢን እናስቁም
579,ወባን ለማከም የሚጠቅመው መድሃኒት በአሜሪካ ፈቃድ ያገኘው ከስንት ዓመት በኋላ ነው?,ከ 60 
580,በየዓመቱ የሚያገረሸው የወባ በሽታ አምጪ ህዋስ ምን ይባላል?,ፕላስሞዲየም ቪቫክስ
581,የአሜሪካው መድኃኒት ፈቃድ ሰጪ መስሪያ ቤት ጥቅም ላይ እንዲውል የፈቀደው የወባ በሽታ መድኃኒት ምን ይባላል?,ታፌኖኪውይን
582,ጉበት ውስጥ የምትደበቀውን የወባ በሽታ ለማዳን ጥቅም ላይ ሲውል የነበረው መድሃኒት ምን ይባላል?,ፕሪማኪውን
583,ወይዘሮ ጣይቱ ብጡል በስንት ዓ.ም እቴጌ ተብለው ተሰየሙ?,ጥቅምት ፳፯ ቀን ፲፰፻፹፪ ዓ.ም.
584,የውጫሌ ውል በስንት ዓ.ም የተደረገ ስምምነት ነው?,ሚያዝያ ፳፭ ቀን ፲፰፻፹፩ ዓ/ም
585,የውጫሌ ስምምነት ኢትዮጵያ ከማን ጋር ያደረገችው ስምምነት ነው?,ከኢጣሊያ 
586,ልዑል አለማየሁ ቴዎድሮስ እንግሊዝ ሀገር እንደደረሰ ያገኛት ንግስት ማን ትባላለች?,ንግስት ቪክቶሪያ
587,በስንት አመተ ምህረት ነው ስፒዲ ህንድ ሀገር በምትገኝ ከተማ አዛዥ ሆና የተሾመው?,በ1861 ዓ.ም
588,ስፒዲ ህንድ ሀገር በምትገኝ ከተማ አዛዥ ሆኖ በተሾመበት ወቅት ልዑለ አለማየሁ የስንት ዓመት ልጅ ነበር?,የ8
589,ልዑል አለማየሁ ከመደበኛ ትምህርቱ ውጪ ምን ያዘወትር ነበር?,ፈረስ ግልቢያ እና ሌሎች ስፖርቶችንም
590,ቄስ ብሌክ ልዑል አለማየሁን ምን ላይ ቢያተኩር ውጤታማ እንደሚሆን ገመቱ? ,ወታደርነት 
591,ልዑል አለማየሁ በስንት አመቱ ነበር ከዚህ አለም በሞት የተለየው?,በ19 
592,በልዑል አለማየሁ መቃብር ላይ ምን ተብሎ ነው ፅኁፍ የተፃፈለት?,“የሀበሻው ልዑል አለማየሁ”
593,ልዑል አለማየሁ መቼ ከዚህ ዓለም በሞት ተለየ?,ህዳር 5 ቀን 1872 ዓ.ም
594,ሶቅራጥስ ምን የሚባል መርዝ ጠጥቶ እንዲሞት ተፈረደበት?,ሄምሎክ 
595,የሶቅራጥስ እናት ስም ማን ነው?,ፌናርት
596,የሶቅራጥስ አባት ማን ይባላል?,ሶፍሮኒስከስ 
597,የሶቅራጥስ አባት ሙያ ም ነበር?,ድንጋይ አናጢ
598,ሶቅራጥስ ከዛንቲፕ ስንት ልጆች ወለደ?,ሶስት 
599,ሶቅራጥስ በአቴንስ መንግስት ሲከሰስ እድሜው ስንት ነበር?,70 ዓመት
600,ሶቅራጥስን በ70 ዓመቱ የከሰሰው ማን ነው?,የአቴና መንግስት
601,ሶቅራጥስ ማን የምትባል ሴት አገባ?,ዛንቲፕ 
602,የሶቅራጥስ እናት ፌርናት ምን ሙያ ነበራት?,አዋላጅ 
603,ሶቅራጥስ ደሀ የነበረበት ምክንያት ምንድን ነው?,ከገንዘብ ይልቅ እውቀት ይበልጣል ብሎ ስለሚያምን
604,ሶቅራጥስ ጊዜውን የሚያሳልፈው ምን በማድረግ ነበር?,በፍልስፍና ሃሳብና ክርክር
605,ሶቅራጥስን ለክስ የዳረጉት ምክንያቶች ስንት ናቸው?,ሁለት
606,ዳኞች ምን ዓይነት ቅጣት እንዲበይኑበት ሲጠየቅ የሶቅራጥስ መልስ ምን ነበር?,በቀሪው ዘመኑ ሁሉ ነጻ እራት እንዲያመጡለት
607,ልዑል አለማየሁ አባቱ ማናቸው?,ዳግማዊ ዓፄ ቴዎድሮስ
608,ልዑል አለማየሁ በየት ከተማ ተወለደ?,በደብረ ታቦር
609,ልዑል አለማየሁ መቼ ተወለደ?,ሚያዚያ 5 ቀን 1853 ዓ.ም
610,የልዑል አለማየሁ ቴዎድሮስ እናት ማን ትባላለች?,ወይዘሮ ጥሩወርቅ ውቤ
611,በስንት ዓ.ም ነው እንግሊዞች ልዑል አለማየሁን የወሰዱት?,በ1860 ዓ.ም
612,ልዑል አለማየሁን እንዲጠብቀው የተመደበው ሰው ማን ይባላል?,ካፕቴን ስፒዲ
613,ካፒቴን ስፒዲ ልዑል አለማየሁን እንዲጠብቅ የመደበው ማን ነው?,ጀነራል ናፔር
614,ልዑል አለማየሁ እና ጠባቂው ተሳፍረውበት ወደ እንግሊዝ ያቀኑባት መርከብ ማን ትባላለች?,ፌሬዝ 
615,ኢትዮጵያውያኑ የልዑል አለማየሁ ሞግዚቶች ስማቸው ማን ነው?,አለቃ ዝርዓት እና አቶ ገብረመድህን
616,የዳግማዊ ቴዎድሮስና የወይዘሮ ጥሩወርቅ ውቤ ልጅ ማን ይባላል?,ልዑል ዓለማየሁ ቴዎድሮስ
617,ልዑል አለማየሁ አባቱ አጼ ቴዎድሮስ ከሞቱ በኋላ ወዴት ተወሰደ?,ወደ እንግሊዝ
618,ልዑል አለማየሁ ከምን ያህል የመርርብ ጉዞ በኋላ እንግሊዝ ደረሰ?,ከሶስት ወራት
619,የልዑል አለማየሁ ኢትዮጵያውያን ሞግዚቶች አንግሊዝ ሳይደርሱ ከየት ተመለሱ?,ከስዊዝ 
620,ልዑል አለማየሁ ሲወለድ በደስታ አጼ ቴዎድሮስ ስንት እስረኞች ፈቱ?,500 
621,ፕሮፌሰር አሸናፊ ከበደ መቼ ተወለዱ?,ግንቦት ፰ ቀን ፲፱፻፴ ዓ/ም
622,ፕሮፌሰር አሸናፊ ከበደ የሙዚቃ ስሜትንና ፍቅር ያሳደሩባቸው ማናቸው?,እናታቸው ወይዘሮ ፋንታዬ ነከሬ
623,ፕሮፌሰር አሸናፊ ከበደ የት ተወለዱ?,አዲስ አበባ
624,ፕሮፌሰር አሸናፊ ከበደ የመጀመሪያ ትምህርት በየት ትምህርት ቤት ተማሩ? ,በዳግማዊ ምኒልክ
625,የፕሮፌሰር አሸናፊ ከበደ እናት ማን ናቸው?,ወይዘሮ ፋንታዬ ነከሬ
626,ፕሮፌሰር አሸናፊ ከበደ በየት የመምህራን ማሰልጠኛ ተመረቁ?,በሐረር
627,አሸናፊ ከበደ ወደ ኢትዮጵያ ተመልሰው የመሰረቱት ትምህርት ቤት ማነው?,የያሬድ ሙዚቃ ትምሕርት ቤት
628,አሸናፊ ከበደ ከፍተኛ ትምህርታቸውን የጨረሱት የት ነው?,የሮቼስተር ዩኒቨርሲቲ
